SampleID,name,Type,Group
P009,Acholeplasma_laidlawii_PG8A_strain_PG8A,facultative,group1
P026,Acidithiobacillus_ferridurans_strain_JCM_18981,facultative,group2
P027,Acidithiobacillus_ferrooxidans_ATCC_23270_strain_ATCC_23270,facultative,group1
P028,Acidithiobacillus_ferrooxidans_strain_YNTRS_40,facultative,group2
P031,Acidovorax_ebreus_tpsy,facultative,group1
P046,Acinetobacter_piscicola_strain_YH12207_T,facultative,group1
P056,Actinobacillus_pleuropneumoniae_serovar_3_str_JL03_strain_JL03,facultative,group1
P057,Actinobacillus_pleuropneumoniae_serovar_7_str__AP76_strain_AP76,facultative,group2
P071,Aerococcus_sanguinicola_strain_CCUG43001,facultative,group1
P072,Aerococcus_urinaeequi_strain_CCUG28094,facultative,group1
P080,Aeromonas_salmonicida_strain_S121,facultative,group1
P081,Aeromonas_salmonicida_subsp_salmonicida_A449_strain_A449,facultative,group2
P084,Aggregatibacter_aphrophilus_NJ8700_strain_NJ8700,facultative,group1
P144,Alicycliphilus_denitrificans_BC_strain_BC,facultative,group1
P145,Alicycliphilus_denitrificans_strain_I51,facultative,group2
P149,Aliivibrio_salmonicida_LFI1238_strain_LFI1238,facultative,group1
P154,Alkalilimnicola_ehrlichii_MLHE1_strain_MLHE1,facultative,group1
P156,Allochromatium_vinosum_DSM_180_strain_DSM_180,facultative,group1
P170,Anaeromyxobacter_dehalogenans_2CP1_strain_2CP1,facultative,group1
P177,Anoxybacillus_flavithermus_WK1_strain_WK1,facultative,group1
P183,Aquitalea_denitrificans_strain_5YN1_3,facultative,group1
P182,Aquitalea_denitrificans_strain_5YN13,facultative,group2
P184,Aquitalea_magnusonii_strain_H3,facultative,group1
P187,Arcanobacterium_haemolyticum_DSM_20595_strain_DSM_20595,facultative,group1
P197,Aromatoleum_aromaticum_EbN1_strain_EbN1,facultative,group1
P201,Arthrospira_platensis_NIES39_strain_NIES39,facultative,group1
P209,Azospirillum_humicireducens_strain_SgZ_5,facultative,group2
P208,Azospirillum_humicireducens_strain_SgZ5,facultative,group1
P210,Azospirillum_oryzae_strain_KACC_14407,facultative,group1
P221,Bacillus_haynesii_strain_P19,facultative,group1
P223,Bacillus_luti_strain_FJ,facultative,group1
P226,Bacillus_mobilis_strain_ML_A2C4,facultative,group2
P225,Bacillus_mobilis_strain_MLA2C4,facultative,group1
P229,Bacillus_nitratireducens_strain_BM02,facultative,group1
P232,Bacillus_pacificus_strain_Colony501,facultative,group1
P233,Bacillus_paranthracis_strain_BC307,facultative,group1
P234,Bacillus_paranthracis_strain_BCCL1,facultative,group2
P235,Bacillus_pseudomycoides_DSM_12442_strain_DSM_12442,facultative,group1
P236,Bacillus_pseudomycoides_strain_219298,facultative,group2
P237,Bacillus_siamensis_strain_B28,facultative,group1
P239,Bacillus_sonorensis_strain_SRCM101395,facultative,group1
P241,Bacillus_wiedmannii_strain_MM3,facultative,group1
P242,Bacillus_wiedmannii_strain_SR52,facultative,group2
P417,Brachyspira_hyodysenteriae_ATCC_27164_strain_B_78,facultative,group1
P418,Brachyspira_hyodysenteriae_WA1_strain_WA1__ATCC_49526,facultative,group2
P439,Brucella_abortus_S19_strain_S19,facultative,group1
P442,Brucella_abortus_strain_63_75,facultative,group2
P525,Capnocytophaga_haemolytica_strain_CCUG_32990,facultative,group2
P526,Capnocytophaga_haemolytica_strain_NCTC12947,facultative,group1
P540,Cellulomonas_flavigena_DSM_20109_strain_DSM_20109,facultative,group1
P552,Chlorobaculum_parvum_NCIB_8327_strain_NCIB_8327,facultative,group1
P553,Chlorobium_phaeobacteroides_DSM_266_strain_DSM_266,facultative,group1
P556,Chloroflexus_aggregans_DSM_9485_strain_DSM_9485,facultative,group1
P557,Chloroherpeton_thalassium_ATCC_35110_strain_ATCC_35110,facultative,group1
P559,Chromobacterium_rhizoryzae_strain_JP274,facultative,group1
P561,Chromobacterium_violaceum_ATCC_12472_strain_ATCC_12472,facultative,group1
P562,Chromobacterium_violaceum_strain_FDAARGOS_1273,facultative,group2
P571,Chryseobacterium_taihuense_strain_3012STDY6944375,facultative,group2
P572,Chryseobacterium_taklimakanense_strain_F9257,facultative,group2
P578,Citrobacter_portucalensis_strain_PNUCL1,facultative,group2
P579,Citrobacter_portucalensis_strain_STN0717_27,facultative,group1
P580,Citrobacter_rodentium_ICC168_strain_ICC168,facultative,group1
P585,Cloacibacterium_normanense_strain_NRS_1,facultative,group1
P584,Cloacibacterium_normanense_strain_NRS1,facultative,group2
P647,Colwellia_psychrerythraea_34H_strain_34H__BAA681,facultative,group1
P654,Corynebacterium_aurimucosum_ATCC_700975_strain_DSM_44827__ATCC_700975,facultative,group2
P655,Corynebacterium_aurimucosum_strain_FDAARGOS_1109,facultative,group1
P659,Corynebacterium_simulans_strain_PES1,facultative,group2
P660,Corynebacterium_simulans_strain_Wattiau,facultative,group1
P661,Corynebacterium_singulare_strain_IBS_B52218,facultative,group1
P662,Corynebacterium_sphenisci_DSM_44792_strain_DSM_44792,facultative,group1
P665,Corynebacterium_testudinoris_strain_DSM_44614,facultative,group1
P671,Corynebacterium_ureicelerivorans_strain_IMMIB_RIV_2301,facultative,group2
P670,Corynebacterium_ureicelerivorans_strain_IMMIB_RIV2301,facultative,group1
P677,Coxiella_burnetii_strain_14160_002,facultative,group1
P679,Coxiella_burnetii_strain_2014_PE_15890,facultative,group2
