aerobe	anaerobe	facultative	MeanDecreaseAccuracy	MeanDecreaseGini
Biotin_lipoyl	0.0041252949021345	0.00470343840323138	0.00114276464551609	0.00384702670566835	3.33050800571816
adh_short	0.00403331569248727	0.00383762969355687	0.000569930066621614	0.00343373431028887	2.42506979600889
NRDD	0.00402434616559303	0.00575039574215413	0.000565473853252243	0.00400064019117547	3.43815485001878
Abhydrolase_1	0.00388389794980844	0.00253342391248972	0.000219327648753787	0.00289109129148547	1.72057737280263
COX1	0.00384385613774324	0.00783449837611357	0.00083423536608959	0.00462072840702624	4.1019532148881
Gly_radical	0.00358807920878727	0.000769503758964874	0.00103924674900932	0.00230386473751951	1.36942800201259
COX3	0.00329317422172402	0.00765043674126308	0.00149818727922713	0.00436526132702516	3.53333856539753
Acyl-CoA_dh_N	0.00325816238515572	0.00251752101445014	-0.000122480574817159	0.00247529258349833	1.53525157383922
Acyl-CoA_dh_M	0.00325097877046995	0.00164112356041346	0.000286877047358666	0.00228088188403317	1.40496782555305
E3_binding	0.00324916028802145	0.00540548043886977	0.0014420376724196	0.00363922859740942	3.8797205089228
GMC_oxred_C	0.00312706680350359	0.00313613903687833	3.74721541880838e-05	0.00265392799124066	1.86371884342851
Aldedh	0.00297169561049149	0.00531600014120033	3.2499067549978e-05	0.00325527930219698	3.11068453085941
adh_short_C2	0.00291556786866528	0.00273241878198177	-0.000496198325335954	0.00232776051914087	1.88846285449914
OxoGdeHyase_C	0.0029052566218409	0.00834512122786817	0.000892464845055377	0.00429679175571012	4.09713759363389
Fe_hyd_lg_C	0.00287435252786422	0.00400191486052896	0.000390463289678585	0.00283995328389607	3.35173152529278
Bac_luciferase	0.00287230647191703	0.00509843209348504	-0.000273414280892118	0.0030761658830856	2.3254208165886
DUF2229	0.00285402151281221	0.00319071609741572	0.000528414931550082	0.00259950523562575	3.34716481496783
Rieske	0.00284234443396388	0.00333249874172987	0.000226955079953933	0.00259149548169759	1.71142702917615
POR_N	0.00270536791239336	0.00449650680445702	4.85172267223387e-05	0.00285246510890444	2.93573883151453
Cytochrom_C_asm	0.00267670578381416	0.00142128374375747	0.0014702685469761	0.00209555102254346	1.74726282902213
2-oxoacid_dh	0.0026352280800843	0.00699695523191837	0.0015931736953607	0.00385345467464315	3.58497191510762
FA_desaturase	0.00259247574249593	0.00647463534096223	-0.000539985518944716	0.00335009959724657	2.48253230743448
Fe-S_biosyn	0.00250282338287652	0.00334071096972668	0.00172878315695541	0.00266416813745064	1.68363887869022
ADH_zinc_N	0.00250130815254504	0.00160798164556095	-8.83126842285789e-05	0.00180726555956443	1.30430406667424
Acyl-CoA_dh_1	0.00249933482416091	0.00153329688728986	-0.000259117741848171	0.00175805524029264	1.1241222216166
FAA_hydrolase	0.00249110219341086	0.00412769891724707	-0.000298823636135256	0.00259019647149333	2.19296509172377
DAO	0.00245374964607091	0.00341692814764197	0.000756332244878367	0.00249426841862995	2.3152614414707
C_GCAxxG_C_C	0.00242775651679534	0.00228075132646247	-0.000222090062563145	0.00197611849656569	2.15095355171412
Glyoxalase	0.00241887383499325	0.00632996090494055	6.49735692905128e-05	0.00327469051689668	2.4136676219725
Thiolase_N	0.00238915330681995	0.00310859449988473	6.42413949338944e-05	0.00225718584114096	1.75171084857905
FAD_binding_3	0.00234369479730419	0.00514891622531183	0.000563184865409535	0.00294360759842329	2.45945908560222
ClpS	0.00233365382693966	0.00160572038357574	0.000725500550162564	0.00185613167859603	1.64029189251793
HGD-D	0.00229648315440228	0.00420562785004138	0.000327948788856994	0.00257612303012384	2.89748372813821
PFL-like	0.00228723577531944	0.000487225680521734	0.000845236521974646	0.00149755551930449	0.927824863468403
Nitro_FeMo-Co	0.00227571129634822	0.00245435745636422	0.000618623679841904	0.00207003205598186	1.78333006994311
DNA_ligase_A_C	0.00226347556465129	0.00106253205130391	0.000345893784410646	0.00157978592933322	0.896571719588464
YceI	0.00214677964292966	0.00642472293245886	0.000111365488597015	0.00314486607285478	2.97805364421574
2-oxogl_dehyd_N	0.00210970365866809	0.00753853695957937	0.0013552997161927	0.00369453732302439	2.88319906136938
DHODB_Fe-S_bind	0.0020291342574156	0.00555764259089087	0.000537449661459404	0.00289119030129197	3.45228064022532
FeoB_Cyto	0.00200275631619781	0.00177479886558182	0.000460380343025809	0.00168793387581928	1.26145473887288
ADH_N	0.00198795362326518	0.000974745247845811	-0.000181870705177139	0.00133258022823134	0.987049189185832
Abhydrolase_6	0.00186484136997946	0.0022144120819072	5.9952921536187e-05	0.00168974623355414	1.31058782920343
Thiolase_C	0.00184308921852287	0.00321653034762267	-0.000364624576173004	0.00193681879085435	1.64568643744099
Fer4_20	0.0017838345529896	0.00143460644571797	-0.000233197930150107	0.00135700619764138	1.0471127065679
Prismane	0.00177844593702933	0.00226082488604179	0.000390897639182981	0.00171212831185024	1.70924285937168
PFOR_II	0.00174596036154232	0.00257833782572287	7.73522582433514e-05	0.00175416065111135	1.56191556653215
Ferrochelatase	0.00174162790304531	0.00314979076926164	0.00114608642789596	0.00211737317691218	2.82750601860359
GMC_oxred_N	0.00173459880510357	0.00192894410024522	0.00029816292390078	0.00156494318985705	1.15139302700968
FAD_binding_6	0.00166115270515681	0.00128028054173719	0.000587165324819521	0.00137143781394578	1.18125356841939
Desulfoferrodox	0.00164768491190267	0.00335958640863493	0.000740458728564894	0.00205426143979928	2.69444204466676
